"dep","prov","dist","cat_age","N"
"ancash","antonio raymondi","san juan de rontoy","60-69",53
"ancash","antonio raymondi","san juan de rontoy","70-79",60
"ancash","antonio raymondi","san juan de rontoy","80+",30
"ancash","asuncion","acochaca","60-69",268
"ancash","asuncion","acochaca","70-79",248
"ancash","asuncion","acochaca","80+",126
"ancash","asuncion","chacas","60-69",329
"ancash","asuncion","chacas","70-79",272
"ancash","asuncion","chacas","80+",120
"ancash","bolognesi","abelardo pardo lezameta","60-69",20
"ancash","bolognesi","abelardo pardo lezameta","70-79",14
"ancash","bolognesi","abelardo pardo lezameta","80+",12
"ancash","bolognesi","antonio raymondi","60-69",106
"ancash","bolognesi","antonio raymondi","70-79",97
"ancash","bolognesi","antonio raymondi","80+",72
"ancash","bolognesi","aquia","60-69",173
"ancash","bolognesi","aquia","70-79",113
"ancash","bolognesi","aquia","80+",67
"ancash","bolognesi","cajacay","60-69",108
"ancash","bolognesi","cajacay","70-79",76
"ancash","bolognesi","cajacay","80+",45
"ancash","bolognesi","canis","60-69",34
"ancash","bolognesi","canis","70-79",20
"ancash","bolognesi","canis","80+",21
"ancash","bolognesi","chiquian","60-69",263
"ancash","bolognesi","chiquian","70-79",205
"ancash","bolognesi","chiquian","80+",172
"ancash","bolognesi","colquioc","60-69",166
"ancash","bolognesi","colquioc","70-79",99
"ancash","bolognesi","colquioc","80+",48
"ancash","bolognesi","huallanca","60-69",344
"ancash","bolognesi","huallanca","70-79",195
"ancash","bolognesi","huallanca","80+",100
"ancash","bolognesi","huasta","60-69",108
"ancash","bolognesi","huasta","70-79",101
"ancash","bolognesi","huasta","80+",69
"ancash","bolognesi","huayllacayan","60-69",138
"ancash","bolognesi","huayllacayan","70-79",101
"ancash","bolognesi","huayllacayan","80+",72
"ancash","bolognesi","la primavera","60-69",46
"ancash","bolognesi","la primavera","70-79",40
"ancash","bolognesi","la primavera","80+",24
"ancash","bolognesi","mangas","60-69",48
"ancash","bolognesi","mangas","70-79",59
"ancash","bolognesi","mangas","80+",29
"ancash","bolognesi","pacllon","60-69",76
"ancash","bolognesi","pacllon","70-79",72
"ancash","bolognesi","pacllon","80+",50
"ancash","bolognesi","san miguel de corpanqui","60-69",42
"ancash","bolognesi","san miguel de corpanqui","70-79",49
"ancash","bolognesi","san miguel de corpanqui","80+",16
"ancash","bolognesi","ticllos","60-69",67
"ancash","bolognesi","ticllos","70-79",50
"ancash","bolognesi","ticllos","80+",35
"ancash","carhuaz","acopampa","60-69",159
"ancash","carhuaz","acopampa","70-79",150
"ancash","carhuaz","acopampa","80+",104
"ancash","carhuaz","amashca","60-69",137
"ancash","carhuaz","amashca","70-79",104
"ancash","carhuaz","amashca","80+",46
"ancash","carhuaz","anta","60-69",172
"ancash","carhuaz","anta","70-79",105
"ancash","carhuaz","anta","80+",82
"ancash","carhuaz","ataquero","60-69",100
"ancash","carhuaz","ataquero","70-79",82
"ancash","carhuaz","ataquero","80+",61
"ancash","carhuaz","carhuaz","60-69",962
"ancash","carhuaz","carhuaz","70-79",643
"ancash","carhuaz","carhuaz","80+",378
"ancash","carhuaz","marcara","60-69",602
"ancash","carhuaz","marcara","70-79",392
"ancash","carhuaz","marcara","80+",192
"ancash","carhuaz","pariahuanca","60-69",83
"ancash","carhuaz","pariahuanca","70-79",91
"ancash","carhuaz","pariahuanca","80+",60
"ancash","carhuaz","san miguel de aco","60-69",165
"ancash","carhuaz","san miguel de aco","70-79",114
"ancash","carhuaz","san miguel de aco","80+",50
"ancash","carhuaz","shilla","60-69",232
"ancash","carhuaz","shilla","70-79",178
"ancash","carhuaz","shilla","80+",82
"ancash","carhuaz","tinco","60-69",195
"ancash","carhuaz","tinco","70-79",154
"ancash","carhuaz","tinco","80+",112
"ancash","carhuaz","yungar","60-69",189
"ancash","carhuaz","yungar","70-79",127
"ancash","carhuaz","yungar","80+",101
"ancash","carlos fermin fitzcarrald","san luis","60-69",782
"ancash","carlos fermin fitzcarrald","san luis","70-79",823
"ancash","carlos fermin fitzcarrald","san luis","80+",424
"ancash","carlos fermin fitzcarrald","san nicolas","60-69",226
"ancash","carlos fermin fitzcarrald","san nicolas","70-79",150
"ancash","carlos fermin fitzcarrald","san nicolas","80+",53
"ancash","carlos fermin fitzcarrald","yauya","60-69",354
"ancash","carlos fermin fitzcarrald","yauya","70-79",270
"ancash","carlos fermin fitzcarrald","yauya","80+",120
"ancash","casma","buena vista alta","60-69",276
"ancash","casma","buena vista alta","70-79",184
"ancash","casma","buena vista alta","80+",98
"ancash","casma","casma","60-69",2205
"ancash","casma","casma","70-79",1371
"ancash","casma","casma","80+",699
"ancash","casma","comandante noel","60-69",125
"ancash","casma","comandante noel","70-79",80
"ancash","casma","comandante noel","80+",38
"ancash","casma","yautan","60-69",519
"ancash","casma","yautan","70-79",339
"ancash","casma","yautan","80+",194
"ancash","corongo","aco","60-69",49
"ancash","corongo","aco","70-79",40
"ancash","corongo","aco","80+",16
"ancash","corongo","bambas","60-69",34
"ancash","corongo","bambas","70-79",22
"ancash","corongo","bambas","80+",14
"ancash","corongo","corongo","60-69",156
"ancash","corongo","corongo","70-79",181
"ancash","corongo","corongo","80+",103
"ancash","corongo","cusca","60-69",152
"ancash","corongo","cusca","70-79",101
"ancash","corongo","cusca","80+",44
"ancash","corongo","la pampa","60-69",101
"ancash","corongo","la pampa","70-79",62
"ancash","corongo","la pampa","80+",49
"ancash","corongo","yanac","60-69",61
"ancash","corongo","yanac","70-79",32
"ancash","corongo","yanac","80+",30
"ancash","corongo","yupan","60-69",87
"ancash","corongo","yupan","70-79",64
"ancash","corongo","yupan","80+",24
"ancash","huaraz","cochabamba","60-69",119
"ancash","huaraz","cochabamba","70-79",113
"ancash","huaraz","cochabamba","80+",72
"ancash","huaraz","colcabamba","60-69",25
"ancash","huaraz","colcabamba","70-79",21
"ancash","huaraz","colcabamba","80+",16
"ancash","huaraz","huanchay","60-69",167
"ancash","huaraz","huanchay","70-79",102
"ancash","huaraz","huanchay","80+",108
"ancash","huaraz","huaraz","60-69",3745
"ancash","huaraz","huaraz","70-79",2390
"ancash","huaraz","huaraz","80+",1350
"ancash","huaraz","independencia","60-69",4456
"ancash","huaraz","independencia","70-79",2519
"ancash","huaraz","independencia","80+",1440
"ancash","huaraz","jangas","60-69",341
"ancash","huaraz","jangas","70-79",216
"ancash","huaraz","jangas","80+",83
"ancash","huaraz","la libertad","60-69",67
"ancash","huaraz","la libertad","70-79",61
"ancash","huaraz","la libertad","80+",42
"ancash","huaraz","olleros","60-69",218
"ancash","huaraz","olleros","70-79",200
"ancash","huaraz","olleros","80+",145
"ancash","huaraz","pampas grande","60-69",85
"ancash","huaraz","pampas grande","70-79",78
"ancash","huaraz","pampas grande","80+",74
"ancash","huaraz","pariacoto","60-69",271
"ancash","huaraz","pariacoto","70-79",187
"ancash","huaraz","pariacoto","80+",130
"ancash","huaraz","pira","60-69",265
"ancash","huaraz","pira","70-79",198
"ancash","huaraz","pira","80+",90
"ancash","huaraz","tarica","60-69",411
"ancash","huaraz","tarica","70-79",255
"ancash","huaraz","tarica","80+",126
"ancash","huari","anra","60-69",135
"ancash","huari","anra","70-79",96
"ancash","huari","anra","80+",50
"ancash","huari","cajay","60-69",153
"ancash","huari","cajay","70-79",189
"ancash","huari","cajay","80+",60
"ancash","huari","chavin de huantar","60-69",500
"ancash","huari","chavin de huantar","70-79",363
"ancash","huari","chavin de huantar","80+",157
"ancash","huari","huacachi","60-69",124
"ancash","huari","huacachi","70-79",92
"ancash","huari","huacachi","80+",46
"ancash","huari","huacchis","60-69",115
"ancash","huari","huacchis","70-79",86
"ancash","huari","huacchis","80+",49
"ancash","huari","huachis","60-69",226
"ancash","huari","huachis","70-79",192
"ancash","huari","huachis","80+",84
"ancash","huari","huantar","60-69",189
"ancash","huari","huantar","70-79",189
"ancash","huari","huantar","80+",110
"ancash","huari","huari","60-69",564
"ancash","huari","huari","70-79",531
"ancash","huari","huari","80+",302
"ancash","huari","masin","60-69",107
"ancash","huari","masin","70-79",131
"ancash","huari","masin","80+",76
"ancash","huari","paucas","60-69",107
"ancash","huari","paucas","70-79",93
"ancash","huari","paucas","80+",43
"ancash","huari","ponto","60-69",184
"ancash","huari","ponto","70-79",177
"ancash","huari","ponto","80+",104
"ancash","huari","rahuapampa","60-69",49
"ancash","huari","rahuapampa","70-79",36
"ancash","huari","rahuapampa","80+",21
"ancash","huari","rapayan","60-69",102
"ancash","huari","rapayan","70-79",70
"ancash","huari","rapayan","80+",41
"ancash","huari","san marcos","60-69",792
"ancash","huari","san marcos","70-79",554
"ancash","huari","san marcos","80+",363
"ancash","huari","san pedro de chana","60-69",124
"ancash","huari","san pedro de chana","70-79",102
"ancash","huari","san pedro de chana","80+",47
"ancash","huari","uco","60-69",90
"ancash","huari","uco","70-79",81
"ancash","huari","uco","80+",51
"ancash","huarmey","cochapeti","60-69",63
"ancash","huarmey","cochapeti","70-79",41
"ancash","huarmey","cochapeti","80+",45
"ancash","huarmey","culebras","60-69",185
"ancash","huarmey","culebras","70-79",104
"ancash","huarmey","culebras","80+",59
"ancash","huarmey","huarmey","60-69",1556
"ancash","huarmey","huarmey","70-79",977
"ancash","huarmey","huarmey","80+",478
"ancash","huarmey","huayan","60-69",71
"ancash","huarmey","huayan","70-79",62
"ancash","huarmey","huayan","80+",52
"ancash","huarmey","malvas","60-69",87
"ancash","huarmey","malvas","70-79",68
"ancash","huarmey","malvas","80+",64
"ancash","huaylas","caraz","60-69",1420
"ancash","huaylas","caraz","70-79",865
"ancash","huaylas","caraz","80+",531
"ancash","huaylas","huallanca","60-69",85
"ancash","huaylas","huallanca","70-79",61
"ancash","huaylas","huallanca","80+",30
"ancash","huaylas","huata","60-69",111
"ancash","huaylas","huata","70-79",76
"ancash","huaylas","huata","80+",53
"ancash","huaylas","huaylas","60-69",182
"ancash","huaylas","huaylas","70-79",124
"ancash","huaylas","huaylas","80+",99
"ancash","huaylas","mato","60-69",146
"ancash","huaylas","mato","70-79",107
"ancash","huaylas","mato","80+",85
"ancash","huaylas","pamparomas","60-69",426
"ancash","huaylas","pamparomas","70-79",324
"ancash","huaylas","pamparomas","80+",188
"ancash","huaylas","pueblo libre","60-69",402
"ancash","huaylas","pueblo libre","70-79",303
"ancash","huaylas","pueblo libre","80+",208
"ancash","huaylas","santa cruz","60-69",234
"ancash","huaylas","santa cruz","70-79",185
"ancash","huaylas","santa cruz","80+",102
"ancash","huaylas","santo toribio","60-69",109
"ancash","huaylas","santo toribio","70-79",74
"ancash","huaylas","santo toribio","80+",78
"ancash","huaylas","yuracmarca","60-69",134
"ancash","huaylas","yuracmarca","70-79",70
"ancash","huaylas","yuracmarca","80+",45
"ancash","mariscal luzuriaga","casca","60-69",247
"ancash","mariscal luzuriaga","casca","70-79",245
"ancash","mariscal luzuriaga","casca","80+",93
"ancash","mariscal luzuriaga","eleazar guzman barron","60-69",64
"ancash","mariscal luzuriaga","eleazar guzman barron","70-79",65
"ancash","mariscal luzuriaga","eleazar guzman barron","80+",40
"ancash","mariscal luzuriaga","fidel olivas escudero","60-69",112
"ancash","mariscal luzuriaga","fidel olivas escudero","70-79",95
"ancash","mariscal luzuriaga","fidel olivas escudero","80+",44
"ancash","mariscal luzuriaga","llama","60-69",79
"ancash","mariscal luzuriaga","llama","70-79",99
"ancash","mariscal luzuriaga","llama","80+",30
"ancash","mariscal luzuriaga","llumpa","60-69",292
"ancash","mariscal luzuriaga","llumpa","70-79",228
"ancash","mariscal luzuriaga","llumpa","80+",98
"ancash","mariscal luzuriaga","lucma","60-69",202
"ancash","mariscal luzuriaga","lucma","70-79",120
"ancash","mariscal luzuriaga","lucma","80+",66
"ancash","mariscal luzuriaga","musga","60-69",68
"ancash","mariscal luzuriaga","musga","70-79",61
"ancash","mariscal luzuriaga","musga","80+",22
"ancash","mariscal luzuriaga","piscobamba","60-69",206
"ancash","mariscal luzuriaga","piscobamba","70-79",171
"ancash","mariscal luzuriaga","piscobamba","80+",100
"ancash","ocros","acas","60-69",57
"ancash","ocros","acas","70-79",39
"ancash","ocros","acas","80+",20
"ancash","ocros","cajamarquilla","60-69",33
"ancash","ocros","cajamarquilla","70-79",28
"ancash","ocros","cajamarquilla","80+",17
"ancash","ocros","carhuapampa","60-69",58
"ancash","ocros","carhuapampa","70-79",40
"ancash","ocros","carhuapampa","80+",24
"ancash","ocros","cochas","60-69",103
"ancash","ocros","cochas","70-79",62
"ancash","ocros","cochas","80+",35
"ancash","ocros","congas","60-69",88
"ancash","ocros","congas","70-79",72
"ancash","ocros","congas","80+",65
"ancash","ocros","llipa","60-69",40
"ancash","ocros","llipa","70-79",26
"ancash","ocros","llipa","80+",14
"ancash","ocros","ocros","60-69",91
"ancash","ocros","ocros","70-79",92
"ancash","ocros","ocros","80+",51
"ancash","ocros","san cristobal de rajan","60-69",41
"ancash","ocros","san cristobal de rajan","70-79",44
"ancash","ocros","san cristobal de rajan","80+",24
"ancash","ocros","san pedro","60-69",76
"ancash","ocros","san pedro","70-79",57
"ancash","ocros","san pedro","80+",36
"ancash","ocros","santiago de chilcas","60-69",40
"ancash","ocros","santiago de chilcas","70-79",35
"ancash","ocros","santiago de chilcas","80+",20
"ancash","pallasca","bolognesi","60-69",72
"ancash","pallasca","bolognesi","70-79",68
"ancash","pallasca","bolognesi","80+",36
"ancash","pallasca","cabana","60-69",178
"ancash","pallasca","cabana","70-79",125
"ancash","pallasca","cabana","80+",69
"ancash","pallasca","conchucos","60-69",432
"ancash","pallasca","conchucos","70-79",261
"ancash","pallasca","conchucos","80+",131
"ancash","pallasca","huacaschuque","60-69",30
"ancash","pallasca","huacaschuque","70-79",27
"ancash","pallasca","huacaschuque","80+",14
"ancash","pallasca","huandoval","60-69",72
"ancash","pallasca","huandoval","70-79",61
"ancash","pallasca","huandoval","80+",39
"ancash","pallasca","lacabamba","60-69",39
"ancash","pallasca","lacabamba","70-79",44
"ancash","pallasca","lacabamba","80+",16
"ancash","pallasca","llapo","60-69",42
"ancash","pallasca","llapo","70-79",25
"ancash","pallasca","llapo","80+",22
"ancash","pallasca","pallasca","60-69",197
"ancash","pallasca","pallasca","70-79",125
"ancash","pallasca","pallasca","80+",85
"ancash","pallasca","pampas","60-69",253
"ancash","pallasca","pampas","70-79",237
"ancash","pallasca","pampas","80+",112
"ancash","pallasca","santa rosa","60-69",96
"ancash","pallasca","santa rosa","70-79",58
"ancash","pallasca","santa rosa","80+",41
"ancash","pallasca","tauca","60-69",190
"ancash","pallasca","tauca","70-79",168
"ancash","pallasca","tauca","80+",90
"ancash","pomabamba","huayllan","60-69",200
"ancash","pomabamba","huayllan","70-79",140
"ancash","pomabamba","huayllan","80+",77
"ancash","pomabamba","parobamba","60-69",398
"ancash","pomabamba","parobamba","70-79",342
"ancash","pomabamba","parobamba","80+",128
"ancash","pomabamba","pomabamba","60-69",862
"ancash","pomabamba","pomabamba","70-79",627
"ancash","pomabamba","pomabamba","80+",318
"ancash","pomabamba","quinuabamba","60-69",123
"ancash","pomabamba","quinuabamba","70-79",108
"ancash","pomabamba","quinuabamba","80+",51
"ancash","recuay","catac","60-69",257
"ancash","recuay","catac","70-79",162
"ancash","recuay","catac","80+",86
"ancash","recuay","cotaparaco","60-69",31
